LINEA,MARCA,2024,2025,Var 24/25
S2(hfc7151eav),Jac,61,16,-0.7377049180327868
Macan,Porsche,14,16,0.1428571428571428
Etransit,Ford,7,15,1.1428571428571428
Leaf,Nissan,37,15,-0.5945945945945945
K280 ib4x2,Scania,-,15,-
Eq1045d6cdb,Dongfeng,-,15,-
Ev3 / jx7001eslbev,Jmc,12,15,0.25
Atego 2730,Mercedes benz,13,15,0.15384615384615374
I4 edrive40,Bmw,12,15,0.25
Nat,Faw,84,15,-0.8214285714285714
CITY EXL-C CVT,Honda,-,15,-
Zz1168f4515d1,Sinotruk,19,15,-0.21052631578947367
Ioniq 5,Hyundai,9,15,0.6666666666666667
Mx 5,Mazda,12,15,0.25
Cooper e,Mini,31,14,-0.5483870967741935
Song plus ev.,Byd,1,14,13
Hv613 sba 4x2,International,1,14,13
Amg gle 53 4matic,Mercedes benz,19,14,-0.26315789473684215
Jx7004esabev,Jmc,12,14,0.16666666666666674
WRX TS ES MT,Subaru,-,14,-
Jetta highline,Volkswagen,161,14,-0.9130434782608696
Atego 1726k,Mercedes benz,8,14,0.75
John cooper works cabrio,Mini,1,14,13
Hfc1036kn,Jac,116,14,-0.8793103448275862
Seres 3 ev,Dfsk,60,14,-0.7666666666666666
L200 glx mt,Mitsubishi,219,14,-0.9360730593607306
DELIVERY 9.180,Volkswagen,-,13,-
Amg a 35 4matic,Mercedes benz,33,13,-0.6060606060606061
C 350e,Mercedes benz,43,13,-0.6976744186046512
Bj1081vejda-01,Forland,1,13,12
Hummer ev suv,Gmc,2,13,5.5
Cle 300 4matic coupe,Mercedes benz,8,13,0.625
Range rover evoque 2.0 200ps s mhev,Land rover,9,13,0.4444444444444444
Zz4257v324gf1,Sinotruk,4,13,2.25
Land cruiser gdj79l,Toyota,13,13,0
E-truck 4.0t,Stark,76,13,-0.8289473684210527
T3,KYC,-,13,-
Taos comfortline,Volkswagen,289,13,-0.9550173010380623
X6 m60i xdrive,Bmw,29,13,-0.5517241379310345
F-150  lariat  sport crew cab,Ford,45,13,-0.7111111111111111
Palisade,Hyundai,10,13,0.30000000000000004
CA1050P40K50L2E6L,Faw,-,12,-
Kona electrica,Hyundai,14,12,-0.1428571428571429
Hv607 sba 4x2,International,14,12,-0.1428571428571429
Zoe,Renault,66,12,-0.8181818181818181
CA1100P40K2L1E6L,Faw,-,12,-
Bj5319gjb-6g,Foton,40,12,-0.7
ACTYON,SSANYONG - KG MOBILITY (KGM),-,12,-
Eqs 450 4matic,Mercedes benz,16,12,-0.25
XF 530,Daf,-,12,-
CA1050P40K50L4E6L,Faw,-,12,-
E-van 1.0t lite,Stark,7,12,0.7142857142857142
Nuevo master furgon,Renault,19,12,-0.368421052631579
Countryman s all4,Mini,23,12,-0.4782608695652174
CA1100P40K2L2E6L,Faw,-,12,-
Mg zsev edu at com 51 2wd,Mg,22,12,-0.4545454545454546
Gladiator rubicon,Jeep,12,12,0
Ix xdrive40,Bmw,38,11,-0.7105263157894737
BJ1186VLPHN-2A,Foton,-,11,-
Gse,Jmc,7,11,0.5714285714285714
Gls 450 4matic,Mercedes benz,22,11,-0.5
Escape active hibrida,Ford,366,11,-0.9699453551912568
TG SPORT LINLANG,Tg,-,11,-
Byd e5,Byd,1,11,10
TIGUAN NF R-LINE,Volkswagen,-,11,-
Gx550,Lexus,9,11,0.22222222222222232
CA1040P40K50L2E6L,Faw,-,11,-
Vito 114 cdi,Mercedes benz,4,11,1.75
Amg glc 43 4matic coupe,Mercedes benz,2,11,4.5
Bz4x,Toyota,16,11,-0.3125
FALCON 4,NAFFCO,-,10,-
CA1040P40K50L1E6T,Faw,-,10,-
Bj1226vmphd-f3,Foton,13,10,-0.23076923076923073
Zz4257v424kf1ck,Sinotruk,2,10,4
Jetta gli,Volkswagen,69,10,-0.855072463768116
HFC1063S,Jac,-,10,-
Em60,Changan,40,10,-0.75
Tg sport,Tg,92,10,-0.8913043478260869
Wrx high es mt,Subaru,12,10,-0.16666666666666663
Xpander cross,Mitsubishi,52,10,-0.8076923076923077
Bj1065vdjba-2a,Foton,4,10,1.5
Actros 2651 ls,Mercedes benz,3,10,2.3333333333333335
Xku710l-hkurp3,Hino,6,10,0.6666666666666667
Cle 300 4matic,Mercedes benz,2,10,4
Eqe 350+,Mercedes benz,6,10,0.6666666666666667
HFC1048S,Jac,-,10,-
Megane 1.4 mec,Renault,7,10,0.4285714285714286
Gls 600 4matic,Mercedes benz,9,10,0.11111111111111116
PILOT 5DR TRG-CR 10A,Honda,-,10,-
D2s,Zhidou,51,10,-0.803921568627451
Macan 4,Porsche,8,10,0.25
Yuehu es3,Dayun,13,10,-0.23076923076923073
Yuan plus,Byd,6,10,0.6666666666666667
Bj1226vmphn-f3,Foton,11,10,-0.09090909090909094
Defender 110 404ps x-dynamic se phev,Land rover,20,10,-0.5
X-3000,Shacman,59,10,-0.8305084745762712
Macan turbo,Porsche,3,10,2.3333333333333335
SC53,HENGYISHENG,-,10,-
G01 f,Shineray,17,10,-0.4117647058823529
ZK6117H,Yutong,-,9,-
E-truck b2.0t,Stark,2,9,3.5
S3 (hfc7161mv),Jac,52,9,-0.8269230769230769
Nnr,Chevrolet,-,9,-
Explorer platinum,Ford,-,9,-
P320,Scania,-,9,-
I5 edrive 40,Bmw,27,9,-0.6666666666666667
Macan t,Porsche,9,9,0
Cayenne coupe,Porsche,19,9,-0.5263157894736843
Eqa 350 4matic,Mercedes benz,67,9,-0.8656716417910448
E5 l2 phev,Dfsk,8,9,0.125
E10x,Jac,114,9,-0.9210526315789473
LCK6850D,Zhongtong,-,9,-
G460,Scania,6,9,0.5
NX 350H AWD,Lexus,-,9,-
Lf290,Daf,10,9,-0.09999999999999998
X5 m60i xdrive,Bmw,13,9,-0.3076923076923077
Eq1180s8cde,Dongfeng,1,9,8
Corvette,Chevrolet,5,9,0.8
Tacoma 4wd,Toyota,1,9,8
Ca3250p27k15l1t1ne5a80,Faw,2,8,3
Mg marvel r g del,Mg,22,8,-0.6363636363636364
Fea51el4snqb,Mitsubishi fuso,14,8,-0.4285714285714286
Glc 350e 4matic,Mercedes benz,20,8,-0.6
Gse / jx7001erbbev,Jmc,6,8,0.33333333333333326
G500 b8x4,Scania,-,8,-
P 370,Scania,5,8,0.6000000000000001
Camaro,Chevrolet,29,8,-0.7241379310344828
Range rover evoque 2.0 249ps dyn se mhev,Land rover,13,8,-0.3846153846153846
Escape active ecoboost,Ford,316,8,-0.9746835443037974
330e,Bmw,96,8,-0.9166666666666666
430i coupe,Bmw,7,8,0.1428571428571428
Ll4mr-maxen,Daewoo,1,8,7
CA1050P40K50L1E6TD,Faw,-,8,-
MAX 460KM 4WD,Radar,-,8,-
HORIZON AIR,RIDDARA,-,8,-
4 runner,Toyota,971,8,-0.9917610710607621
COOPER CABRIO S,Mini,-,8,-
C5 aircross,Citroen,36,8,-0.7777777777777778
Bolt,Chevrolet,198,8,-0.9595959595959596
X1 m35i xdrive,Bmw,27,8,-0.7037037037037037
Tundra 4wd,Toyota,18,8,-0.5555555555555556
VOLKSBUS 9.180 OD,Volkswagen,-,7,-
Zz1257n524gf1,Sinotruk,5,7,0.3999999999999999
Zz4257v344kf1,Sinotruk,3,7,1.3333333333333335
Grandland x,Opel,32,7,-0.78125
Han ev,Byd,4,7,0.75
Sequoia hybrid,Toyota,19,7,-0.631578947368421
SMART#3 PRO+,SMART,-,7,-
AIR 460KM 4WD,Radar,-,7,-
Bj6608b1ddc-b6,Foton,-,7,-
Amg glb 35 4matic,Mercedes benz,12,7,-0.41666666666666663
Sequoia 1794 4wd hibrida,Toyota,3,7,1.3333333333333335
Sequoia trd pro,Toyota,13,7,-0.46153846153846156
M135 xdrive,Bmw,1,7,6
Emzoom,Gac,2,7,2.5
Bronco sport big bend,Ford,104,7,-0.9326923076923077
City exl cvt,Honda,52,7,-0.8653846153846154
Lck6101hgcw,Zhongtong,17,7,-0.5882352941176471
K450 b6x2,Scania,8,7,-0.125
Zz3257v364gf1,Sinotruk,3,7,1.3333333333333335
"Sequoia 4wd, trd pro",Toyota,4,7,0.75
Vm6x4r,Volvo,5,7,0.3999999999999999
Nks-zz1048g3314f1,Sinotruk,1,7,6
Atego 1726 aub c,Mercedes benz,7,7,0
JMEV 3,Jmc,-,7,-
Kangoo e tech,Renault,5,7,0.3999999999999999
Carnival,Kia,16,7,-0.5625
JOHN  COOPER WORKS,Mini,-,7,-
Rs3 sedan,Audi,12,7,-0.41666666666666663
Ds 7,Ds,10,7,-0.30000000000000004
Wrangler rubicon,Jeep,11,7,-0.36363636363636365
Sequoiatrd pro 4wd hibrid,Toyota,8,7,-0.125
EQA 250+,Mercedes benz,-,7,-
SEALION 07,Byd,-,7,-
Commander,Jeep,44,7,-0.8409090909090909
BESTUNE JOY03,Faw,-,7,-
Rexton,Ssangyong,59,7,-0.8813559322033898
Korando,Ssangyong,89,7,-0.9213483146067416
BJ1226VMPHK-F3,Foton,-,6,-
CA1040P40K50L1E6L,Faw,-,6,-
Patrol king,Nissan,2,6,2
Tundra limited,Toyota,3,6,1
Wrx performance,Subaru,6,6,0
Ec40,Volvo,-,6,-
Torres,SSANYONG - KG MOBILITY (KGM),-,6,-
Q6 e-tron,Audi,-,6,-
Countryman c,Mini,9,6,-0.33333333333333337
CA1070P40K50L2E6L,Faw,-,6,-
Sequoia platinum 4wd hibrida,Toyota,5,6,0.19999999999999996
VE11,FARIZON,-,6,-
Escalade 4wd,Cadillac,3,6,1
ATEGO 1726 L,Mercedes benz,-,6,-
VOLKSBUS 11.180 OD,Volkswagen,-,6,-
Bj1186-l001,Foton,3,6,1
M440i xdrive cabrio,Bmw,7,6,-0.1428571428571429
EQ1180L9TDN,Dongfeng,-,6,-
Mg4 at del 64 kwh 4wd,Mg,5,6,0.19999999999999996
Nivus comfortline,Volkswagen,378,6,-0.9841269841269842
SXS1000M6DR,Honda,-,6,-
Jx1083tk24,Jmc,38,6,-0.8421052631578947
MONACO,Brenson,-,6,-
Tacoma 4wd trd sport,Toyota,-,6,-
SMART#1 PURE,SMART,-,6,-
Eq1090s8ndb,Dongfeng,2,6,2
Sequoia limited 4wd hibrida,Toyota,3,5,0.6666666666666667
Murano,Nissan,31,5,-0.8387096774193549
SMART#1 PRO+,SMART,-,5,-
Ix xdrive50,Bmw,15,5,-0.6666666666666667
408,Peugeot,-,5,-
Macan gts,Porsche,5,5,0
4 RUNNER 4WD,Toyota,-,5,-
YUAN UP EV,Byd,-,5,-
Amg a 45 s 4matic,Mercedes benz,15,5,-0.6666666666666667
Amg g 63,Mercedes benz,16,5,-0.6875
SMART#3 BRABUS,SMART,-,5,-
SMART#1 BRABUS,SMART,-,5,-
JMEV 2,Jmc,-,5,-
Cayenne e-hybrid,Porsche,5,5,0
Ynky1137d5,Kaiyun motors,1,5,4
Mini,Brenson,17,5,-0.7058823529411764
Lck6850dc,Zhongtong,1,5,4
Land cruiser hybrid,Toyota,2,5,1.5
Gr64bx,Mack,15,5,-0.6666666666666667
Atego 2730k,Mercedes benz,3,5,0.6666666666666667
Qin plus dmi,Byd,123,5,-0.959349593495935
L 3000,Shacman,1,5,4
Zz4256v384hf1cb,Sinotruk,24,5,-0.7916666666666666
HFC4185,Jac,-,5,-
Wrangler 4dr 4xe,Jeep,4,5,0.25
718 cayman gts 4.0,Porsche,4,5,0.25
MV5C,RENNORGY,-,5,-
SMART#3 PRO,SMART,-,5,-
E 350e,Mercedes benz,4,5,0.25
Saveiro,Volkswagen,55,5,-0.9090909090909091
Tx500h awd,Lexus,15,5,-0.6666666666666667
Cibertruck awd,Tesla,8,5,-0.375
M440i xdrive gran coupe,Bmw,3,5,0.6666666666666667
Hummer ev pickup,Gmc,3,5,0.6666666666666667
MACAN 4S,Porsche,-,4,-
Feb91gl4snqc,Mitsubishi fuso,24,4,-0.8333333333333334
SV,FARIZON,-,4,-
ZZ1167N561GF1,Sinotruk,-,4,-
Rx350h awd,Lexus,8,4,-0.5
Korando,SSANYONG - KG MOBILITY (KGM),-,4,-
911 carrera,Porsche,4,4,0
LY05N,MONTANERO,-,4,-
M4 COMPETITION M XDRIVE COUPE,Bmw,-,4,-
Sequoia limited,Toyota,4,4,0
BJ1186VLPHN-3A,Foton,-,4,-
A05,Raysince,-,4,-
911 gt3 rs,Porsche,3,4,0.33333333333333326
Feb71el4snqc,Mitsubishi fuso,12,4,-0.6666666666666667
EQ5041XXY6A1Q,Dongfeng,-,4,-
Master e tech,Renault,-,4,-
E-j7,Jac,2,4,1
M2 coupe,Bmw,5,4,-0.19999999999999996
Zeekr 001,Zeekr,-,4,-
G410,Scania,3,4,0.33333333333333326
Fiv1pkx2lnqa,Mitsubishi fuso,1,4,3
Rd6,Radar,4,4,0
T03,LEAP MOTOR,-,4,-
IX XDRIVE60,Bmw,-,4,-
X4 m40i,Bmw,7,4,-0.4285714285714286
B510r,Volvo,5,4,-0.19999999999999996
K450c,Scania,38,4,-0.8947368421052632
HFC4255,Jac,-,4,-
Sx33196w326c,Shacman,4,4,0
E-TRUCK S2.3T,Stark,-,4,-
G440,Scania,5,4,-0.19999999999999996
Corvette stingray,Chevrolet,1,4,3
Byd seal,Byd,39,4,-0.8974358974358975
Discovery sport 249ps dyn se mhev,Land rover,8,4,-0.5
Sqr5035xxybevh12,Karry,4,4,0
Ec35,Dfsk,7,4,-0.4285714285714286
M440i xdrive coupe,Bmw,3,4,0.33333333333333326
Bronco sport wildtrak,Ford,336,4,-0.9880952380952381
X3 xdrive30i,Bmw,208,4,-0.9807692307692307
Eq5025xxyf13 1.2,Dfsk,367,4,-0.989100817438692
Fh 6x4t,Volvo,4,4,0
Xf 530 ftt,Daf,123,4,-0.967479674796748
G63 amg,Mercedes benz,1,4,3
FEB71EL4WNQG,Mitsubishi fuso,-,4,-
Hfc1042kn,Jac,42,4,-0.9047619047619048
AROCS 3342 K 6X4,Mercedes benz,-,4,-
Hfc1073ev1,Jac,4,4,0
G 580 WITH EQ TECHNOLOGY,Mercedes benz,-,4,-
Alaskan,Renault,71,4,-0.9436619718309859
X7 m60i xdrive,Bmw,8,4,-0.5
F-150 fhev at xlt super crew,Ford,34,3,-0.9117647058823529
RD6 AIR,RIDDARA,-,3,-
V6E,FARIZON,-,3,-
TIGGO 7 PRO MHEV LUXURY,Chery,-,3,-
JOHN COOPER WORKS E,Mini,-,3,-
Dfa1040t,Dongfeng,101,3,-0.9702970297029703
John cooper works countryman all4,Mini,11,3,-0.7272727272727273
M235 XDRIVE GRAN COUPE,Bmw,-,3,-
M235i xdrive gran coupe,Bmw,1,3,2
ZZ3317V306GF1,Sinotruk,-,3,-
Trail blazer,Chevrolet,4,3,-0.25
"SEQUOIA 4WD,CAPSTONE, I FORCE MAX,HIBRIDO",Toyota,-,3,-
Tivoli,SSANYONG - KG MOBILITY (KGM),-,3,-
NNR,Chevrolet,-,3,-
Hfc1037d3ksv,Jac,1,3,2
BJ5319GJB-1A,Foton,-,3,-
BZ3X,Toyota,-,3,-
HFC1042S,Jac,-,3,-
G580,Mercedes benz,-,3,-
RICH 7 EV,Dongfeng,-,3,-
Tacoma,Toyota,1,3,2
Gladiator,Jeep,2,3,0.5
Z20,LYNK & CO,-,3,-
X80,Tg,-,3,-
911 carrera s,Porsche,2,3,0.5
Mini sam tg,Tg,-,3,-
Ex40,Volvo,-,3,-
"SEQUOIA 4WD, 1794 EDITION, IFORCE MAX, TRD OFF ROAD , HIBRIDO",Toyota,-,3,-
RAV4,Toyota,-,3,-
CORATO,Brenson,-,3,-
Lf 260,Daf,-,3,-
Jx1032psef5bev,Jmc,18,3,-0.8333333333333334
POER PASSENGER,Great wall,-,3,-
O 500 rs,Mercedes benz,-,3,-
SXS1000M5DR,Honda,-,3,-
Hv507 sfa 4x4,International,1,3,2
Rs3 sportback,Audi,11,3,-0.7272727272727273
Rio,Kia,247,3,-0.9878542510121457
Eqa 260,Mercedes benz,2,3,0.5
Z4 m40i,Bmw,1,3,2
BJ5369THB-2A,Foton,-,3,-
Cevo c-se,Cevo,1,3,2
Amg gle 63 s 4matic,Mercedes benz,-,3,-
ROMA SPIDER,Ferrari,-,3,-
SEQUOIA TRD PRO I-FORCE MAX 4WD HIBRIDA,Toyota,-,3,-
Zz4186n441ge1c,Sinotruk,5,3,-0.4
"Sequoia 4wd, 1 force max 4wd",Toyota,3,3,0
Poer,Great wall,-,3,-
P 340,Scania,6,3,-0.5
Lx600,Lexus,10,3,-0.7
ZEEKR 7X,Zeekr,-,3,-
Q8 e-tron sportback,Audi,36,3,-0.9166666666666666
Range rover sport 3.0 460ps ab phev,Land rover,3,3,0
G560,Scania,1,3,2
Ca4181p2k15ne5a80,Faw,2,3,0.5
Zz1168d2813d145,Sinotruk,6,3,-0.5
Jx1062tg24,Jmc,37,3,-0.9189189189189189
Fmx8x4r,Volvo,4,3,-0.25
HH1185,Jac,-,3,-
Hfc1040kn,Jac,33,3,-0.9090909090909091
Hfc1035kn,Jac,102,3,-0.9705882352941176
TACOMA TRD PRO 4X4 HIBRIDO,Toyota,-,3,-
Ex8 c,Hyundai,20,3,-0.85
CA1050P40K50L3E6L,Faw,-,3,-
SEQUOIA 1794 4WD,Toyota,-,3,-
EQB 250+,Mercedes benz,-,3,-
H6 PHEV,Great wall,-,3,-
Suburban,Chevrolet,-,3,-
ID.4 PURE LIMITED,Volkswagen,-,3,-
EQ1120S8NDD,Dongfeng,-,3,-
Dfa1105s2cdf,Dongfeng,176,3,-0.9829545454545454
Eq1020tf29 1.2 economical,Dfsk,26,3,-0.8846153846153846
Stq1079l02y1nbev,Stark,1,3,2
Tundra trd pro hybrid,Toyota,3,3,0
Forester 2.0i-l es cvt,Subaru,159,3,-0.9811320754716981
FANGCHENGBAO LEOPARD3,Byd,-,2,-
4RUNNER TRD PRO,Toyota,-,2,-
HFC1188,Jac,-,2,-
X5 m competition,Bmw,1,2,1
TIGGO 4 PRO MHEV LUXURY,Chery,-,2,-
Sequoia trd,Toyota,-,2,-
AMG CLE 53 4MATIC+ CABRIOLET,Mercedes benz,-,2,-
HILUX BR,Toyota,-,2,-
Cayenne turbo gt,Porsche,4,2,-0.5
X3 xdrive30e,Bmw,173,2,-0.9884393063583815
TRANSIT,Ford,-,2,-
Constellation 17.230,Volkswagen,2,2,0
X-trail t32,Nissan,5,2,-0.6
E5,Raysince,-,2,-
Jx5043xxytge25bev,Jmc,1,2,1
Ix3 m sport,Bmw,254,2,-0.9921259842519685
Model y,Tesla,2,2,0
BYD7007BEVA,Byd,-,2,-
LX 700H F SPORT HIBRIDO,Lexus,-,2,-
LY08N,MONTANERO,-,2,-
MV5P,RENNORGY,-,2,-
MONTERO,Mitsubishi,-,2,-
BYD7001BEVA1,Byd,-,2,-
Xml6700j15cnd,Golden dragon,4,2,-0.5
Sxs1000m5dr,Honda,-,2,-
Wr-v lx cvt,Honda,141,2,-0.9858156028368794
YUANZHI M1,Dayun,-,2,-
LX 700H LUXURY HIBRIDO,Lexus,-,2,-
V3,Kyc,-,2,-
GRENADIER,INEOS,-,2,-
Esprinter 314,Mercedes benz,-,2,-
AMG GLC 43 4MATIC,Mercedes benz,-,2,-
Max 460km 4wd,Radar,-,2,-
Frontier np300,Nissan,-,2,-
G 580 W/EQ TECNOLOGY,Mercedes benz,-,2,-
TACOMA 4WD TRD PRO HIBRIDA,Toyota,-,2,-
Nx 350h awd,Lexus,-,2,-
T380,Kenworth,6,2,-0.6666666666666667
K7,Jac,3,2,-0.33333333333333337
Amg c 43 4matic,Mercedes benz,14,2,-0.8571428571428572
HH1180,Jac,-,2,-
Cybertruck,Tesla,1,2,1
Taycan,Porsche,5,2,-0.6
Cayenne gts coupe,Porsche,1,2,1
Amg e 53 4matic,Mercedes benz,6,2,-0.6666666666666667
No tiene,Mengqin,1,2,1
Rd6,RIDDARA,-,2,-
YOYO,XEV,-,2,-
RD6 PRO,RIDDARA,-,2,-
Cayenne,Porsche,16,2,-0.875
520 i,Bmw,3,2,-0.33333333333333337
HUMMER EV 3X ELECTRIC,Gmc,-,2,-
Td q7,Thunder,1,2,1
Xm,Bmw,2,2,0
Ix3,Bmw,1,2,1
Getz,Hyundai,205,2,-0.9902439024390244
HU01 PRO,Stark,-,2,-
K320CB4X2NB,Scania,-,2,-
718 boxster gts 4.0,Porsche,2,2,0
Sequoia sr5,Toyota,1,2,1
C-elysee,Citroen,45,2,-0.9555555555555556
Zz1257v524jf1,Sinotruk,-,2,-
BYD SHARK,Byd,-,2,-
ZZ1257V464GF1,Sinotruk,-,2,-
RB E-TANKER,Rosenbauer,-,2,-
BYD7009BEV5,Byd,-,2,-
HORIZON ULTRA,RIDDARA,-,2,-
Explorer xlt,Ford,47,2,-0.9574468085106383
Bj5 186vlphk-1a,Foton,73,2,-0.9726027397260274
Gx 550 luxury plus,Lexus,1,2,1
HORIZON PRO,RIDDARA,-,2,-
HFC1040S,Jac,-,2,-
Lf280,Daf,11,2,-0.8181818181818181
Sienna,Toyota,3,2,-0.33333333333333337
RX 350H AWD,Lexus,-,2,-
Sqr6440k067,Karry,14,2,-0.8571428571428572
"SEQUOIA 4WD, HIBRIDO, iFORCE MAX, CAPSTONE",Toyota,-,2,-
RAV4 LIMITED HYBRID,Toyota,-,2,-
Song l awd,Byd,1,2,1
M3 COMPETITION M XDRIVE,Bmw,-,2,-
LZD-M3,Linzda,-,2,-
Ca4180p25k15ne5a80,Faw,1,2,1
Bj4259smfkb-c1,Foton,168,2,-0.9880952380952381
Dxk6470asf 1.8,Dfsk,16,2,-0.875
Jx1041tg24,Jmc,22,2,-0.9090909090909091
Nivus highline,Volkswagen,530,2,-0.9962264150943396
Q8 sportback e-tron,Audi,4,2,-0.5
X70,Jetour,60,2,-0.9666666666666667
Hfc1048knp,Jac,1,2,1
Seres 5 ev,Dfsk,5,2,-0.6
911 TURBO 50 AÃ‘OS,Porsche,-,2,-
Hfc1120kn,Jac,228,2,-0.9912280701754386
LAND CRUISER 250 HYBRID,Toyota,-,2,-
Corvette stingray 1lt,Chevrolet,4,2,-0.5
LAND CRUISER LC 79,Toyota,-,2,-
DONGFENG BOX,Dongfeng,-,2,-
Wrangler,Jeep,4,2,-0.5
HH1188,Jac,-,2,-
