LINEA,MARCA,2024,2025,Var 24/25
Cx-60,Mazda,187,248,0.3262032085561497
EV3,Kia,-,248,-
Santa fe hibrida,Hyundai,124,247,0.9919354838709677
Staria,Hyundai,240,242,0.008333333333333304
Glc 300 4matic coupe,Mercedes benz,201,240,0.19402985074626855
BRONCO SPORT BADLANDS,Ford,-,240,-
Byd song plus dm-i,Byd,174,238,0.367816091954023
Land cruiser 300,Toyota,414,237,-0.427536231884058
Bj1037v3kav-1a,Foton,30,237,6.9
Baleno at,Suzuki,651,236,-0.6374807987711213
TERA COMFORT AT,Volkswagen,-,233,-
Bj1044vajb3-1a,Foton,209,232,0.11004784688995217
Ms,Chevrolet,39,228,4.846153846153846
Kwid e tech,Renault,318,227,-0.28616352201257866
Bestune xiaoma,Faw,3,218,71.66666666666667
3008,Peugeot,318,212,-0.33333333333333337
Eq1100g8cd5,Dongfeng,132,212,0.606060606060606
Ibiza xm,Seat,249,205,-0.17670682730923692
TIGGO 7 MHEV,Chery,-,204,-
L200,Mitsubishi,-,202,-
Nrr,Chevrolet,136,199,0.46323529411764697
Cx-90,Mazda,142,199,0.40140845070422526
Xc60,Volvo,391,190,-0.5140664961636829
BYD SONG PLUS EV,Byd,-,189,-
EQ1045D6CDB,Dongfeng,-,184,-
Explorer st,Ford,197,183,-0.07106598984771573
Hr-v lx-a,Honda,136,182,0.33823529411764697
TERA HIGH AT,Volkswagen,-,182,-
Equinox,Chevrolet,346,179,-0.4826589595375722
Q5,Audi,226,179,-0.2079646017699115
Bj4259smfkb-1a,Foton,1,175,174
Eq6450pf1 1.5,Dfsk,259,173,-0.33204633204633205
Cr-v 1.5t 5dr ex-r cvt,Honda,57,172,2.017543859649123
Mg3 hybrid +,Mg,105,170,0.6190476190476191
Zeekr x,Zeekr,6,168,27
Saveiro cabina sencilla,Volkswagen,14,166,10.857142857142858
Gle 450 4matic coupã‰,Mercedes benz,143,166,0.16083916083916083
Fvz,Chevrolet,134,165,0.23134328358208944
Gle 450 4matic,Mercedes benz,148,164,0.10810810810810811
Eq6400lf18,Dfsk,5,164,31.799999999999997
Bj1078vejea-f3,Foton,167,163,-0.0239520958083832
Eq7,Chery,28,162,4.785714285714286
Bj1065vdjba-f3,Foton,129,161,0.24806201550387597
Sentra,Nissan,275,159,-0.42181818181818187
Blazer,Chevrolet,178,158,-0.1123595505617978
Pulse,Fiat,304,157,-0.48355263157894735
Polo pa trendline,Volkswagen,189,156,-0.17460317460317465
Tahoe,Chevrolet,206,156,-0.24271844660194175
Land cruiser,Toyota,199,155,-0.2211055276381909
Trafic,Renault,221,153,-0.3076923076923077
Tiggo 7 mhev luxury,Chery,185,151,-0.1837837837837838
Fav1ph2lnqa,Mitsubishi fuso,29,150,4.172413793103448
T8 (hfc1037d3ksv),Jac,220,150,-0.31818181818181823
Ix1 edrive20,Bmw,107,150,0.4018691588785046
KOLEOS,Renault,-,149,-
Glb 250 4matic,Mercedes benz,42,148,2.5238095238095237
Q2,Audi,170,148,-0.12941176470588234
Mv607 sba 4x2,International,130,144,0.10769230769230775
Fastback,Fiat,103,144,0.3980582524271845
EXPLORER ACTIVE,Ford,-,143,-
Bj1030v4av3-bm,Foton,248,142,-0.42741935483870963
K4,Kia,61,142,1.3278688524590163
E30X - HFC7002EWEV1,Jac,-,140,-
Bronco sport outer banks,Ford,190,140,-0.26315789473684215
Silverado,Chevrolet,213,138,-0.352112676056338
Cf480 ftt,Daf,83,134,0.6144578313253013
Traverse,Chevrolet,166,132,-0.20481927710843373
New cascadia 116,Freightliner,52,131,1.5192307692307692
Hv607 sba 6x4,International,92,129,0.40217391304347827
Bj1088vejea-f3,Foton,117,129,0.10256410256410264
Cla 250 4matic,Mercedes benz,27,126,3.666666666666667
X2 xdrive20d,Bmw,9,126,13
Xml6482e-yjd,Golden dragon,141,126,-0.1063829787234043
V700,Ram,176,125,-0.2897727272727273
Dfa1040t (single cabin),Dongfeng,34,125,2.676470588235294
JETTA PA HIGHLINE,Volkswagen,-,124,-
Sequoia 4wd,Toyota,124,122,-0.016129032258064502
Taos highline,Volkswagen,116,121,0.0431034482758621
Bronco,Ford,3,120,39
Sg1af7b,Hino,34,120,2.5294117647058822
Jx1054tsgb26,Jmc,99,120,0.21212121212121215
Jx1044tsc6,Jmc,149,119,-0.20134228187919467
Q5 sportback,Audi,148,118,-0.20270270270270274
Tiggo 4 mhev luxury,Chery,125,117,-0.06399999999999995
Bj1044vaab6-1a,Foton,31,116,2.7419354838709675
Cr-v 1.5t 5dr exl-r cvt,Honda,136,116,-0.1470588235294118
X1 xdrive20d,Bmw,4,116,28
Explorer,Ford,2,115,56.5
Sqr5023xxyk06,Karry,217,114,-0.4746543778801844
Bestune-ca7007bevd,Faw,6,114,18
Atego 1726,Mercedes benz,-,112,-
X70 sport,Jetour,176,112,-0.36363636363636365
X1 sdrive18i,Bmw,133,111,-0.16541353383458646
MAVERICK,Ford,-,108,-
K410cb4x2,Scania,322,107,-0.6677018633540373
Nhs-zz1048f2814f1,Sinotruk,24,107,3.458333333333333
Fiv1pkx2lnqa,Fuso,35,107,2.057142857142857
CONSTELLATION 18.320,Volkswagen,-,105,-
Countryman d,Mini,15,103,5.866666666666666
Eq1047d6cdb,Dongfeng,7,103,13.714285714285714
X2 m35i xdrive,Bmw,29,103,2.5517241379310347
Teramont pa highline,Volkswagen,117,103,-0.11965811965811968
Crosstrek 2.0i-l cvt,Subaru,109,103,-0.05504587155963303
Ix2 xdrive30,Bmw,72,102,0.41666666666666674
Forester 2.5 es be,Subaru,39,101,1.5897435897435899
Dashing 1.5,Jetour,59,101,0.7118644067796611
Hfc1042knd evi,Jac,114,101,-0.11403508771929827
MG4 ELECTRIC 49KWH LUX 2WD,Mg,-,101,-
Jx1035ts6,Jmc,96,99,0.03125
Bj1065vdjda-f2,Foton,103,97,-0.058252427184465994
Eq1081sj8cdc,Dongfeng,25,96,2.84
Bj2037y3mav-8s,Foton,86,96,0.11627906976744184
Hfc1063kn evi,Jac,22,95,3.3181818181818183
EXPLORER PLATINUM,Ford,-,95,-
Bj1051vcjb5-01,Forland,1,94,93
Bj1126vgjfd-f2,Foton,57,93,0.631578947368421
Sorento,Kia,168,93,-0.4464285714285714
Baleno mt,Suzuki,50,92,0.8400000000000001
Hunter,Changan,-,92,-
EQ1043D6CDB,Dongfeng,-,92,-
TIGGO 4 MHEV,Chery,-,92,-
Virtus trendline,Volkswagen,40,91,1.275
NIVUS PA BLACK EDITION,Volkswagen,-,91,-
X4 xdrive30i,Bmw,230,90,-0.6086956521739131
Constellation 17.280,Volkswagen,295,90,-0.6949152542372881
Bj4269snfkb-1a,Foton,1,90,89
Eq5033xxyq305m6,Dongfeng,56,89,0.5892857142857142
TERA HIGH BLACK EDITION,Volkswagen,-,88,-
G500,Scania,33,88,1.6666666666666665
EX40,Volvo,-,88,-
Cf410,Daf,58,87,0.5
X30,Shineray,89,87,-0.022471910112359605
Hfc1042kn evi,Jac,27,87,2.2222222222222223
Q6 E-TRON,Audi,-,87,-
X70 plus,Jetour,112,86,-0.2321428571428571
F-150,Ford,-,86,-
Mg zs 1.5l at std plus,Mg,84,86,0.023809523809523725
Outlander 2.5,Mitsubishi,74,85,0.14864864864864868
X70 limited,Jetour,162,85,-0.47530864197530864
Pathfinder,Nissan,84,85,0.011904761904761862
Crosstrek 2.0i-l es cvt (sport),Subaru,116,84,-0.27586206896551724
X1 xdrive25e,Bmw,30,83,1.7666666666666666
Lt625 6x4,International,78,83,0.0641025641025641
Forester 2.5i-l cvt,Subaru,119,80,-0.32773109243697474
X5 xdrive50e,Bmw,106,78,-0.26415094339622647
Tank 500 hev,Great wall,2,78,38
MINI SAM TG,Tg,-,77,-
Q3,Audi,169,77,-0.5443786982248521
HFC1120S,Jac,-,77,-
BJ1031V4JV3-01,Foton,-,76,-
Yori kq51,Karry,6,76,11.666666666666666
Cr-v 1.5t 5dr lx-r cvt,Honda,381,76,-0.8005249343832022
Bj1044vaab5-a1,Foton,14,75,4.357142857142857
Nivus pa highline,Volkswagen,-,75,-
F-150 fhev at lariat crew cab,Ford,43,74,0.7209302325581395
BJ6608B1DDC-B6,Foton,-,73,-
Taos highline se,Volkswagen,235,73,-0.6893617021276596
TERRAMAR,Cupra,-,72,-
TERA TREND MT,Volkswagen,-,72,-
Eq5025xxyf 1.5,Dfsk,23,71,2.0869565217391304
S07,Changan,22,70,2.1818181818181817
X6 xdrive40i,Bmw,76,70,-0.07894736842105265
Outlander sport,Mitsubishi,2,70,34
Sqr1021h00,Karry,116,69,-0.4051724137931034
HFC1036S,Jac,-,68,-
BJ1037V2MAV-6E,Foton,-,68,-
X5 xdrive40i,Bmw,100,68,-0.31999999999999995
Tang ev,Byd,46,68,0.4782608695652173
Idolphin,Byd,228,68,-0.7017543859649122
XB 260 FA,Daf,-,68,-
Jolion hev,Great wall,1,67,66
TERA COMFORT MT,Volkswagen,-,66,-
BRONCO SPORT,Ford,-,66,-
S50ev,Dongfeng,32,66,1.0625
Arona reference,Seat,334,65,-0.8053892215568862
Ix1 xdrive30,Bmw,79,64,-0.189873417721519
Tank 300 hev,Great wall,6,63,9.5
Jx1054tgf26,Jmc,34,63,0.8529411764705883
V7,KYC,-,63,-
TIGGO 4 HEV,Chery,-,62,-
Hfc1048kn,Jac,21,62,1.9523809523809526
Grand avenue,Jmc,6,61,9.166666666666666
Chevytaxi,Chevrolet,341,60,-0.8240469208211143
Hv613 sba 6x4,International,76,60,-0.21052631578947367
