LINEA,MARCA,2024,2025,Var 24/25
SPLENDOR XPRO,HERO,2170,1478,-0.31889400921658984
APACHE RTR 200 4V XC FI ABS,TVS,1817,1451,-0.20143093010456792
BOXER S,BAJAJ,1788,1439,-0.19519015659955252
DAZZ 110,TVS,1099,1435,0.30573248407643305
WAVE 110S E3,HONDA,4281,1434,-0.665031534688157
APACHE RTR 200 4V XCONNECT,TVS,2096,1423,-0.32108778625954193
MRX ARIZONA FOX TK,VICTORY,-,1399,-
XRE 300 SAHARA,HONDA,925,1383,0.4951351351351352
200 DUKE NG,KTM,1699,1381,-0.1871689228958211
PULSAR N160 FI DC,BAJAJ,-,1368,-
BOXER BM150 X,BAJAJ,4298,1342,-0.6877617496510005
APACHE RTR 160 4V XC FI RACING,TVS,129,1331,9.317829457364342
STRYKER 125,TVS,1824,1305,-0.2845394736842105
GIXXER SF 250,SUZUKI,1865,1300,-0.30294906166219837
XPULSE 200 R 4V,HERO,-,1298,-
NITRO 125 FACELIFT,VICTORY,-,1269,-
PULSAR NS200 FIABS SC,BAJAJ,-,1268,-
VIVA  R COOL,SUZUKI,1325,1191,-0.10113207547169811
SPORT KLS SPOKE,TVS,1520,1157,-0.2388157894736842
MRX150 FOX TK,VICTORY,-,1154,-
HUNTER 150,VICTORY,1070,1148,0.07289719626168223
PULSAR N160 CARB,BAJAJ,-,1140,-
NTORQ 125 XCONNECT FI,TVS,1333,1116,-0.16279069767441856
NAVI MIX 2.0,HONDA,690,1101,0.5956521739130434
STELLA 125,FRATELLI,81,1072,12.234567901234568
ADDRESS NM,SUZUKI,440,1063,1.415909090909091
SFR125,FRATELLI,405,1035,1.5555555555555554
GSX-R150 ABS,SUZUKI,966,1033,0.06935817805383016
XC15WX,AKT-SYM,1552,1018,-0.3440721649484536
AX4 EVOLUTION,SUZUKI,1533,996,-0.35029354207436403
TVS KING GS +,TVS,811,989,0.21948212083847096
NITRO 125,VICTORY,2255,978,-0.5662971175166297
METEOR 350,ROYAL ENFIELD,940,976,0.038297872340425476
BOMBER 125,VICTORY,2070,952,-0.5400966183574879
MRX125,VICTORY,1068,949,-0.11142322097378277
VELOCE 125,FRATELLI,5,943,187.6
TWIST,KYMCO,725,927,0.2786206896551724
XE125,FRATELLI,1181,925,-0.2167654530059272
MRX150,VICTORY,1178,916,-0.22241086587436332
